V1,V2,n
glycated hemoglobin,egfr,1
glycated hemoglobin,haemoglobin,1
glycated hemoglobin,hypertension,1
glycated hemoglobin,insulin treatment,1
glycated hemoglobin,metformin,1
glycated hemoglobin,microvascular disease,1
glycated hemoglobin,myocardial infarction,1
glycated hemoglobin,peripherovascular morbidity,1
glycated hemoglobin,prior coronary artery bypass,1
glycated hemoglobin,statins,1
glycemic control,Serum 25-hydroxyvitamin D,1
glycemic control,albumin,1
glycemic control,alcohol use,1
glycemic control,alphaglucosidase inhibitor,1
glycemic control,antihypertensive use,2
glycemic control,bmi,2
glycemic control,cardiovascular disease,2
glycemic control,cholesterol,2
glycemic control,diastolic blood pressure,2
glycemic control,dipeptidyl peptidase 4 inhibitor at discharge,1
glycemic control,hba1c,1
glycemic control,heart rate,2
glycemic control,hyperlipidemia,1
glycemic control,hypertension,1
glycemic control,insulin (measurment),1
glycemic control,insulin treatment,1
glycemic control,lipidlowering therapy,1
glycemic control,microvascular disease,1
glycemic control,physical activity,1
glycemic control,retinopathy,1
glycemic control,smoking,2
glycemic control,sociodemographics,1
glycemic control,statins,1
glycemic control,sulfonylurea,1
glycemic control,systolic blood pressure,3
hab1c,albumin,1
hab1c,blood glucose,1
hab1c,choleseterol,1
hab1c,cholesterol,1
hab1c,creatinine,1
haemoglobin,myocardial infarction,1
haemoglobin,prior coronary artery bypass,1
hba1c,ACE inhibitors,4
hba1c,ACEI/ARB,1
hba1c,ARBs,3
hba1c,ApoAI,1
hba1c,Elixhauser comorbidies,1
hba1c,RCT,6
hba1c,acr,1
hba1c,acute coronary syndrome,1
hba1c,age,6
hba1c,albumin,21
hba1c,albumin excretion rate,5
hba1c,albumin to creatinine ratio,4
hba1c,alcohol use,2
hba1c,alphaglucosidase inhibitor,1
hba1c,angina,1
hba1c,ankle-brachial index (ABI),3
hba1c,antiaggregating agents,1
hba1c,antidiabetic medication,1
hba1c,antihyperlipidemic drugs,2
hba1c,antihypertensive use,11
hba1c,antiplatelet therapy,7
hba1c,apo(a) phenotypes,1
hba1c,apoAI/apoB ratio,2
hba1c,apoB,2
hba1c,arteriovenous fistula,2
hba1c,aspirin therapy,9
hba1c,atrial fibrillation,3
hba1c,autonomic dysfunction,2
hba1c,bapwv,1
hba1c,beta-blocker,3
hba1c,blood glucose,6
hba1c,blood pressure,7
hba1c,bmi,25
hba1c,bnp,8
hba1c,c-reactive protein,12
hba1c,calcium channel blockers,2
hba1c,cancer,1
hba1c,cardiac autonomic neuropathy (CAN),2
hba1c,cardiovascular disease,13
hba1c,cardiovascular risk factors,2
hba1c,carotid artery imt,1
hba1c,cerebrovascular disease,3
hba1c,cholesterol,115
hba1c,chronic kidney disease,2
hba1c,cimt,3
hba1c,combined alox12 genotypes,1
hba1c,complete revascularization,1
hba1c,coronary artery calcium score,2
hba1c,coronary artery disease,2
hba1c,coronary heart disease,4
hba1c,creatinine,23
hba1c,dcb use,1
hba1c,diabetes,2
hba1c,diabetes duration,15
hba1c,diabetes treatment,10
hba1c,diabetic neuropathy,1
hba1c,dialysis,2
hba1c,diastolic blood pressure,15
hba1c,dipeptidyl peptidase 4 inhibitor at discharge,1
hba1c,distal polyneuropathy,1
hba1c,diuretic therapy,1
hba1c,dpucmgp,1
hba1c,ecg abnormalities,8
hba1c,echolucent plaque,1
hba1c,egfr,31
hba1c,endothelial dysfunction,1
hba1c,family history of diabetes,1
hba1c,fasting cpeptide,1
hba1c,fasting plasma glucose,2
hba1c,fibrates,1
hba1c,fibrinogen,5
hba1c,gender,3
hba1c,gensini score,1
hba1c,gliclazide,1
hba1c,glycemic control,4
hba1c,heart failure,4
hba1c,heart rate,3
hba1c,heart valve calcium,1
hba1c,height,2
hba1c,highdensity lipoprotein,2
hba1c,history of coronary disease,1
hba1c,homair,4
hba1c,homocysteine,2
hba1c,homocysteine at baseline,1
hba1c,hyperlipidemia,4
hba1c,hypertension,15
hba1c,idf metabolic syndrome,1
hba1c,incretins,1
hba1c,insulin (measurment),5
hba1c,insulin treatment,13
hba1c,interleukin 6,1
hba1c,ischemic heart disease,1
hba1c,left atrial diameter,1
hba1c,left ventricular ejection fraction,3
hba1c,lipid profile,1
hba1c,lipidlowering therapy,7
hba1c,lm treatment,1
hba1c,log101  acr,1
hba1c,logaer,1
hba1c,lowdensity lipoprotein,2
hba1c,macroalbuminuria,2
hba1c,macroangiopathy,1
hba1c,macrovascular complications,1
hba1c,medications,1
hba1c,metformin,3
hba1c,microalbuminuria,8
hba1c,microvascular disease,1
hba1c,mild plaque calcifi cation,1
hba1c,multivessel coronary disease,1
hba1c,myocardial infarction,7
hba1c,nephropathy,2
hba1c,neuropathy,1
hba1c,nterminal probrain natriuretic peptide,2
hba1c,parathyroid harmone (PTH),1
hba1c,percent low density plaque,1
hba1c,percutaneous coronary intervention,1
hba1c,peripheral arterial occlusive disease,1
hba1c,peripheral artery disease,6
hba1c,peripheral neuropathy,1
hba1c,phosphate,6
hba1c,physical activity,2
hba1c,pioglitazone treatment,1
hba1c,plaque thickness,1
hba1c,plaque volume,1
hba1c,prior coronary artery bypass,1
hba1c,pro btype natriuretic peptide quartiles,1
hba1c,proteinuria,2
hba1c,provider quality controls,1
hba1c,pulse pressure,1
hba1c,race/ethnicity,4
hba1c,referring physician,1
hba1c,renal impairment,1
hba1c,renin-angiotensin system inhibitors,3
hba1c,retinopathy,6
hba1c,rosiglitazone during followup,1
hba1c,secretagogues,1
hba1c,sensory neuropathy,1
hba1c,sensory neuropathy presentabsent,1
hba1c,significant proximal lad disease,1
hba1c,smoking,30
hba1c,sociodemographics,6
hba1c,socioeconomic variables,3
hba1c,sodium concentration,1
hba1c,statins,15
hba1c,stent,1
hba1c,stroke,5
hba1c,sulfonylurea,3
hba1c,syntax score,1
hba1c,systolic blood pressure,37
hba1c,the presence of total occlusion,1
hba1c,the use of drugs yesno,1
hba1c,therapy for hypercoagulation,1
hba1c,threevessel disease,1
hba1c,tot chol,1
hba1c,treatment,1
hba1c,triacylglycerol,3
hba1c,triglycerides,39
hba1c,troponin,3
hba1c,ultrafiltration volume,2
hba1c,uric acid,4
hba1c,urinary,1
hba1c,urinary acr,5
hba1c,urinary albumin excretion rate,6
hba1c,use of sulfonamides,1
hba1c,waist measurements,2
hba1c,weight,1
hba1c,year fixed effects,1
hba1c,years of enrolment,1
hba1c,young severity index,1
heart failure,ARBs,1
heart failure,RCT,2
heart failure,age,2
heart failure,albumin,2
heart failure,antidepressants,1
heart failure,antihypertensive use,1
heart failure,arteriovenous fistula,1
heart failure,aspirin therapy,1
heart failure,atrial fibrillation,1
heart failure,biomarkers (general),1
heart failure,blockers,1
heart failure,blood glucose,1
heart failure,bmi,3
heart failure,bnp,2
heart failure,c-reactive protein,3
heart failure,cholesterol,6
heart failure,chronic kidney disease,2
heart failure,coronary heart disease,1
heart failure,creatinine,4
heart failure,depression,1
heart failure,diabetes,1
heart failure,diabetes duration,4
heart failure,dialysis,3
heart failure,egfr,5
heart failure,fibrates,1
heart failure,gender,1
heart failure,glycemic control,1
heart failure,hba1c,7
heart failure,heart rate,1
heart failure,hyperlipidemia,4
heart failure,hypertension,4
heart failure,insulin treatment,1
heart failure,left ventricular ejection fraction,1
heart failure,macroalbuminuria,2
heart failure,metformin,1
heart failure,myocardial infarction,4
heart failure,neuropathy,1
heart failure,peripheral artery disease,3
heart failure,peripheral vascular disease,1
heart failure,phosphate,2
heart failure,pro btype natriuretic peptide quartiles,1
heart failure,retinopathy,1
heart failure,smoking,6
heart failure,sodium concentration,1
heart failure,statins,1
heart failure,stroke,1
heart failure,sulfonylurea,1
heart failure,systolic blood pressure,2
heart failure,thiazolidinediones,1
heart failure,triglycerides,2
heart failure,troponin,1
heart failure,ultrafiltration volume,2
heart rate,ApoAI,1
heart rate,RCT,1
heart rate,age,1
heart rate,albumin,1
heart rate,angina,1
heart rate,apoAI/apoB ratio,1
heart rate,apoB,1
heart rate,atrial fibrillation,3
heart rate,beta-blocker,1
heart rate,blood glucose,1
heart rate,bmi,3
heart rate,c-reactive protein,1
heart rate,calcium channel blockers,1
heart rate,cardiovascular disease,1
heart rate,cerebrovascular disease,1
heart rate,cholesterol,13
heart rate,creatinine,4
heart rate,diabetes,1
heart rate,diabetic neuropathy,1
heart rate,diastolic blood pressure,1
heart rate,ecg abnormalities,2
heart rate,egfr,3
heart rate,fibrinogen,1
heart rate,gastrointestinal bleeding in past 5 years,1
heart rate,glycated hemoglobin,1
heart rate,haemoglobin,1
heart rate,hba1c,5
heart rate,heart failure,1
heart rate,homair,1
heart rate,homocysteine,1
heart rate,hyperuricemia-gout,1
heart rate,idf metabolic syndrome,1
heart rate,insulin (measurment),1
heart rate,left bundle branch block,1
heart rate,left ventricular ejection fraction,1
heart rate,lung disease,1
heart rate,macroalbuminuria,2
heart rate,microalbuminuria,1
heart rate,myocardial infarction,1
heart rate,myocardial spect,1
heart rate,pacemaker implantation,1
heart rate,percutaneous coronary intervention,1
heart rate,peripheral artery disease,2
heart rate,prior coronary artery bypass,1
heart rate,retinopathy,1
heart rate,smoking,1
heart rate,sodium concentration,1
heart rate,systolic blood pressure,4
heart rate,triglycerides,4
heart rate,uric acid,1
heart rate,use of blockers,1
heart rate,white blood cell count,1
heart valve calcium,egfr,1
height,antihypertensive use,2
height,coronary artery calcium score,1
height,ecg abnormalities,1
height,hyperlipidemia,1
height,hypertension,1
height,insulin treatment,1
height,lipidlowering therapy,1
height,myocardial infarction,1
height,smoking,2
height,systolic blood pressure,1
hemodynamic measures,diabetes duration,1
hemodynamic measures,hba1c,1
hemoglobin,ACEI/ARB,1
hemoglobin,cholesterol,1
hemoglobin,egfr,1
hemoglobin,insulin treatment,1
hgi,fasting plasma glucose,1
hgi,hba1c,1
hgi,triglycerides,1
high density lipoprotein level,smoking,1
high density lipoprotein level,systolic blood pressure,1
high rlp levels,hba1c,1
high rlp levels,threevessel disease,1
highdensity lipoprotein,aspirin therapy,2
highdensity lipoprotein,cholesterol,2
highdensity lipoprotein,diabetes duration,1
highdensity lipoprotein,glycated hemoglobin,1
highdensity lipoprotein,hypertension,1
highdensity lipoprotein,insulin treatment,2
highdensity lipoprotein,lipidlowering therapy,1
highdensity lipoprotein,metformin,1
highdensity lipoprotein,microvascular disease,1
highdensity lipoprotein,statins,2
history of copd,RCT,1
history of copd,aspirin therapy,1
history of copd,atrial fibrillation,1
history of copd,cholesterol,2
history of copd,creatinine,1
history of copd,egfr,1
history of copd,hba1c,1
history of copd,heart failure,1
history of copd,smoking,1
history of coronary disease,RCT,1
history of coronary disease,antiplatelet therapy,1
history of coronary disease,aspirin therapy,1
history of coronary disease,atrial fibrillation,1
history of coronary disease,cholesterol,2
history of coronary disease,creatinine,1
history of coronary disease,egfr,1
history of coronary disease,hba1c,1
history of coronary disease,heart failure,1
history of coronary disease,history of copd,1
history of coronary disease,peripheral artery disease,1
history of coronary disease,smoking,2
homair,adiponectin,1
homair,blood glucose,1
homair,c-reactive protein,1
homair,cholesterol,3
homair,creatinine,3
homair,ecg abnormalities,1
homair,egfr,2
homair,fibrinogen,2
homair,hemoglobin,1
homair,homocysteine,2
homair,homocysteine at baseline,1
homair,interleukin 6,2
homair,parathyroid harmone (PTH),1
homair,phosphate,1
homair,systolic blood pressure,1
homair,triacylglycerol,1
homair,triglycerides,1
homocysteine,blood glucose,1
hormone therapy,alcohol use,1
hormone therapy,alternative healthy eating index ahei diet quality score quintiles,1
hormone therapy,bmi,1
hormone therapy,cholesterol,1
hormone therapy,hypertension,1
hormone therapy,myocardial infarction,1
hormone therapy,physical activity,1
hormone therapy,smoking,1
hormone therapy,white blood cell count,1
hyperlipidemia,ACEI/ARB,1
hyperlipidemia,age,2
hyperlipidemia,albumin,2
hyperlipidemia,alphaglucosidase inhibitor,1
hyperlipidemia,angina,2
hyperlipidemia,antidiabetic medication,1
hyperlipidemia,antiplatelet therapy,2
hyperlipidemia,aspirin therapy,1
hyperlipidemia,beta-blocker,2
hyperlipidemia,biomarkers (general),1
hyperlipidemia,blood glucose,3
hyperlipidemia,bmi,3
hyperlipidemia,c-reactive protein,2
hyperlipidemia,calcium channel blockers,1
hyperlipidemia,cardiovascular disease,1
hyperlipidemia,cholesterol,11
hyperlipidemia,chronic kidney disease,1
hyperlipidemia,chronic obstructive pulmonary disease,1
hyperlipidemia,cimt,1
hyperlipidemia,clopidigrel,1
hyperlipidemia,complete revascularization,1
hyperlipidemia,coronary artery calcium score,1
hyperlipidemia,coronary artery disease,3
hyperlipidemia,coronary heart disease,1
hyperlipidemia,creatinine,3
hyperlipidemia,dcb use,1
hyperlipidemia,diabetes duration,2
hyperlipidemia,diabetes treatment,4
hyperlipidemia,dipeptidyl peptidase 4 inhibitor at discharge,1
hyperlipidemia,dipyridamole stress test,1
hyperlipidemia,dpucmgp,1
hyperlipidemia,ecg abnormalities,5
hyperlipidemia,egfr,6
hyperlipidemia,fasting plasma glucose,1
hyperlipidemia,gender,1
hyperlipidemia,glycemic control,1
hyperlipidemia,hba1c,9
hyperlipidemia,hypertension,3
hyperlipidemia,insulin (measurment),1
hyperlipidemia,insulin treatment,3
hyperlipidemia,ischemia,1
hyperlipidemia,left ventricular ejection fraction,3
hyperlipidemia,lm treatment,1
hyperlipidemia,metformin,1
hyperlipidemia,myocardial infarction,4
hyperlipidemia,neuropathy,1
hyperlipidemia,percutaneous coronary intervention,2
hyperlipidemia,peripheral artery disease,3
hyperlipidemia,peripheral vascular disease,1
hyperlipidemia,prior coronary artery bypass,1
hyperlipidemia,pro btype natriuretic peptide quartiles,1
hyperlipidemia,progressive arterial stiffness defined as a bapwv of 1730 or greater,1
hyperlipidemia,renin-angiotensin system inhibitors,1
hyperlipidemia,secretagogues,1
hyperlipidemia,smoking,8
hyperlipidemia,statins,5
hyperlipidemia,stent,1
hyperlipidemia,stroke,3
hyperlipidemia,sulfonylurea,1
hyperlipidemia,syntax score,1
hyperlipidemia,systolic blood pressure,1
hyperlipidemia,therapy for hypercoagulation,1
hyperlipidemia,triglycerides,2
hyperlipidemia,troponin,1
hypertension,ACE inhibitors,2
hypertension,ACEI/ARB,2
hypertension,ARBs,2
hypertension,Lp(a),1
hypertension,RCT,2
hypertension,acute coronary syndrome,2
hypertension,age,4
hypertension,albumin,14
hypertension,albumin excretion rate,1
hypertension,alcohol use,3
hypertension,andor nitroglycerin,1
hypertension,angina,2
hypertension,ankle-brachial index (ABI),2
hypertension,antiaggregating agents,1
hypertension,antialdosterone,1
hypertension,anticoagulants,1
hypertension,antidiabetic medication,1
hypertension,antihypertensive use,1
hypertension,antiplatelet therapy,4
hypertension,apo(a) phenotypes,1
hypertension,apoAI/apoB ratio,1
hypertension,aspirin therapy,11
hypertension,atrial fibrillation,1
hypertension,autonomic dysfunction,2
hypertension,autonomic nervous function,1
hypertension,beta-blocker,3
hypertension,biomarkers (general),1
hypertension,blockers,1
hypertension,blood glucose,8
hypertension,bmi,19
hypertension,bnp,3
hypertension,c-reactive protein,9
hypertension,calcium channel blockers,2
hypertension,cardiovascular disease,8
hypertension,cerebrovascular disease,1
hypertension,change of esrage endogenous secretory receptor of advanced glycated endproducts,1
hypertension,choleseterol,1
hypertension,cholesterol,80
hypertension,chronic kidney disease,2
hypertension,chronic obstructive pulmonary disease,1
hypertension,chronic renal failure,1
hypertension,cimt,3
hypertension,clopidigrel,1
hypertension,clopidogrel,1
hypertension,combined alox12 genotypes,1
hypertension,complex lesions,1
hypertension,coronary artery calcium score,3
hypertension,coronary artery disease,9
hypertension,coronary heart disease,2
hypertension,creatinine,11
hypertension,diabetes,2
hypertension,diabetes duration,14
hypertension,diabetes treatment,13
hypertension,diabetic neuropathy,1
hypertension,diastolic blood pressure,5
hypertension,dipyridamole stress test,1
hypertension,distal polyneuropathy,1
hypertension,diuretic therapy,2
hypertension,dpucmgp,1
hypertension,dyslipidaemia,1
hypertension,ecg abnormalities,7
hypertension,echolucent plaque,1
hypertension,egfr,17
hypertension,ejection fraction 40,1
hypertension,endothelial dysfunction,1
hypertension,fasting plasma glucose,3
hypertension,fibrinogen,1
hypertension,final timi flow,1
hypertension,gender,4
hypertension,glycated hemoglobin,1
hypertension,glycemic control,3
hypertension,hab1c,1
hypertension,hba1c,33
hypertension,heart attack,1
hypertension,heart failure,1
hypertension,heart rate,1
hypertension,highdensity lipoprotein,2
hypertension,history of coronary disease,1
hypertension,hyperlipidemia,20
hypertension,incretins,1
hypertension,insulin treatment,16
hypertension,ischemia,1
hypertension,ischemic heart disease,3
hypertension,left ventricular ejection fraction,5
hypertension,left ventricular hypertrophy,1
hypertension,lipidlowering therapy,1
hypertension,logaer,1
hypertension,macroalbuminuria,1
hypertension,macroangiopathy,1
hypertension,macrovascular complications,8
hypertension,metformin,5
hypertension,microalbuminuria,2
hypertension,microvascular disease,7
hypertension,monocyte chemoattractant protin1 m,1
hypertension,multivessel coronary disease,3
hypertension,myocardial infarction,9
hypertension,nephropathy,1
hypertension,neuropathy,1
hypertension,nitrates,1
hypertension,pc screen time,2
hypertension,percutaneous coronary intervention,2
hypertension,peripheral artery disease,4
hypertension,peripheral neuropathy,1
hypertension,peripheral vascular disease,1
hypertension,physical activity,1
hypertension,plaque thickness,1
hypertension,prior coronary artery bypass,2
hypertension,pro btype natriuretic peptide quartiles,1
hypertension,progressive arterial stiffness defined as a bapwv of 1730 or greater,1
hypertension,proteinuria,2
hypertension,race/ethnicity,1
hypertension,renal insufficiency,1
hypertension,renin-angiotensin system inhibitors,2
hypertension,retinopathy,2
hypertension,secretagogues,1
hypertension,sleep duration,2
hypertension,smoking,37
hypertension,sociodemographics,1
hypertension,socioeconomic variables,1
hypertension,statins,20
hypertension,stent,3
hypertension,stroke,3
hypertension,study treatment,1
hypertension,sulfonylurea,1
hypertension,systolic blood pressure,13
hypertension,the ukpds risk score,1
hypertension,therapy for hypercoagulation,1
hypertension,triglycerides,18
hypertension,troponin,1
hypertension,tv viewing,2
hypertension,uric acid,1
hypertension,wasting,1
hyperuricemia-gout,diabetes,1
hyperuricemia-gout,egfr,1
hyperuricemia-gout,gastrointestinal bleeding in past 5 years,1
hyperuricemia-gout,lung disease,1
hyperuricemia-gout,systolic blood pressure,1
hypoglycaemic treatment,antihypertensive use,1
hypoglycaemic treatment,blood pressure,1
hypoglycaemic treatment,bmi,1
hypoglycaemic treatment,hba1c,1
hypoglycaemic treatment,lipidlowering therapy,1
hypoglycaemic treatment,microalbuminuria,1
idf metabolic syndrome,c-reactive protein,1
idf metabolic syndrome,fibrinogen,1
idf metabolic syndrome,homair,1
idf metabolic syndrome,homocysteine,1
idf metabolic syndrome,insulin (measurment),1
incretins,ARBs,1
incretins,age,1
incretins,antiplatelet therapy,1
incretins,beta-blocker,2
incretins,calcium channel blockers,2
incretins,hyperlipidemia,1
incretins,neuropathy,1
incretins,peripheral artery disease,1
incretins,secretagogues,1
indigenous australian,cardiovascular disease,1
indigenous australian,coronary heart disease,1
indigenous australian,neuropathy,1
indigenous australian,retinopathy,1
indigenous australian,urinary acr,1
inflammatory markers,cardiovascular risk factors,1
inflammatory markers,hba1c,1
initial timi,age,1
initial timi,blood glucose,1
initial timi,final timi flow,1
initial timi,gender,1
initial timi,hypertension,1
initial timi,left ventricular ejection fraction,1
initial timi,multivessel coronary disease,1
initial timi,myocardial infarction,2
initial timi,percutaneous coronary intervention,1
initial timi,smoking,1
initial timi,stent,1
insulin (measurment),ACE inhibitors,1
insulin (measurment),beta-blocker,1
insulin (measurment),blood glucose,1
insulin (measurment),c-reactive protein,2
insulin (measurment),diastolic blood pressure,1
insulin (measurment),diuretic therapy,1
insulin (measurment),fibrinogen,1
insulin (measurment),homair,1
insulin (measurment),homocysteine,1
insulin (measurment),metformin,1
insulin (measurment),pioglitazone treatment,1
insulin (measurment),statins,1
insulin (measurment),sulfonylurea,1
insulin (measurment),systolic blood pressure,1
insulin treatment,ACE inhibitors,1
insulin treatment,ARBs,3
insulin treatment,age,2
insulin treatment,albumin to creatinine ratio,2
insulin treatment,alcohol use,2
insulin treatment,angina,1
insulin treatment,antidepressants,1
insulin treatment,antihypertensive use,4
insulin treatment,antiplatelet therapy,3
insulin treatment,aspirin therapy,5
insulin treatment,beta-blocker,2
insulin treatment,blockers,1
insulin treatment,blood glucose,1
insulin treatment,blood pressure,1
insulin treatment,bmi,7
insulin treatment,bnp,2
insulin treatment,calcium channel blockers,2
insulin treatment,cardiovascular disease,2
insulin treatment,cerebrovascular disease,1
insulin treatment,cholesterol,11
insulin treatment,coronary artery calcium score,1
insulin treatment,coronary heart disease,1
insulin treatment,diabetes duration,4
insulin treatment,diastolic blood pressure,4
insulin treatment,diuretic therapy,1
insulin treatment,ecg abnormalities,2
insulin treatment,egfr,3
insulin treatment,family history of diabetes,1
insulin treatment,fasting plasma glucose,1
insulin treatment,fibrates,1
insulin treatment,gender,1
insulin treatment,glycemic control,1
insulin treatment,hba1c,5
insulin treatment,hyperlipidemia,1
insulin treatment,hypertension,4
insulin treatment,incretins,1
insulin treatment,lowdensity lipoprotein,1
insulin treatment,macrovascular complications,1
insulin treatment,metformin,2
insulin treatment,microvascular disease,1
insulin treatment,monocyte chemoattractant protin1 m,1
insulin treatment,myocardial infarction,1
insulin treatment,neuropathy,1
insulin treatment,pc screen time,1
insulin treatment,peripheral artery disease,1
insulin treatment,physical activity,2
insulin treatment,pulse pressure,1
insulin treatment,renin-angiotensin system inhibitors,1
insulin treatment,retinopathy,2
insulin treatment,sds summed difference score,1
insulin treatment,secretagogues,1
insulin treatment,sleep duration,1
insulin treatment,smoking,4
insulin treatment,sodium concentration,1
insulin treatment,statins,7
insulin treatment,sulfonylurea,1
insulin treatment,summed stress score sss,1
insulin treatment,systolic blood pressure,5
insulin treatment,tot chol,1
insulin treatment,triglycerides,3
insulin treatment,tv viewing,1
insulin treatment,uric acid,1
insulin treatment,urinary acr,1
intensive treatment,diabetes duration,2
interleukin 6,cholesterol,1
interleukin 6,creatinine,1
interleukin 6,egfr,1
interleukin 6,hemoglobin,1
interleukin 6,parathyroid harmone (PTH),1
interleukin 6,phosphate,1
intervention arm no interaction model,clinic gamma frailty,1
ischemia,antihypertensive use,1
ischemia,blood glucose,1
ischemia,bmi,1
ischemia,cardiovascular disease,1
ischemia,cholesterol,3
ischemia,diabetes duration,1
ischemia,insulin treatment,1
ischemia,microalbuminuria,1
ischemia,pulse pressure,1
ischemia,retinopathy,1
ischemia,smoking,1
ischemia,stroke,1
ischemia,triglycerides,1
ischemic heart disease,bnp,1
ischemic heart disease,cholesterol,1
ischemic heart disease,chronic renal failure,1
ischemic heart disease,diabetes duration,1
ischemic heart disease,diabetes treatment,1
ischemic heart disease,hba1c,2
ischemic heart disease,retinopathy,1
ischemic heart disease,statins,1
kidney function,cardiovascular disease,2
kidney function,lowdensity lipoprotein,1
kidney function,other conventional risk factors,1
kidney function,smoking,1
kidney function,systolic blood pressure,1
lack of coronary revascularization,age,1
lack of coronary revascularization,glycated hemoglobin,1
lack of coronary revascularization,haemoglobin,1
lack of coronary revascularization,heart rate,1
lack of coronary revascularization,myocardial infarction,1
lack of coronary revascularization,prior coronary artery bypass,1
left atrial diameter,egfr,1
left atrial diameter,heart valve calcium,1
left bundle branch block,atrial fibrillation,1
left bundle branch block,cholesterol,1
left bundle branch block,creatinine,1
left bundle branch block,uric acid,1
left ventricular ejection fraction,ACEI/ARB,1
left ventricular ejection fraction,alphaglucosidase inhibitor,1
left ventricular ejection fraction,antidiabetic medication,1
left ventricular ejection fraction,antiplatelet therapy,2
left ventricular ejection fraction,beta-blocker,1
left ventricular ejection fraction,c-reactive protein,2
left ventricular ejection fraction,cholesterol,3
left ventricular ejection fraction,clopidigrel,1
left ventricular ejection fraction,complete revascularization,1
left ventricular ejection fraction,dcb use,1
left ventricular ejection fraction,diabetes,1
left ventricular ejection fraction,diastolic blood pressure,1
left ventricular ejection fraction,dipeptidyl peptidase 4 inhibitor at discharge,1
left ventricular ejection fraction,diuretic therapy,1
left ventricular ejection fraction,egfr,1
left ventricular ejection fraction,fibrinogen,1
left ventricular ejection fraction,glycemic control,1
left ventricular ejection fraction,hba1c,2
left ventricular ejection fraction,hypertension,1
left ventricular ejection fraction,insulin (measurment),1
left ventricular ejection fraction,insulin treatment,2
left ventricular ejection fraction,ischemia,1
left ventricular ejection fraction,lm treatment,1
left ventricular ejection fraction,previous pcicabg,1
left ventricular ejection fraction,smoking,1
left ventricular ejection fraction,statins,3
left ventricular ejection fraction,sulfonylurea,1
left ventricular ejection fraction,syntax score,1
left ventricular ejection fraction,systolic blood pressure,1
left ventricular ejection fraction,troponin,1
left ventricular hypertrophy,cholesterol,2
left ventricular hypertrophy,coronary artery disease,1
left ventricular hypertrophy,diabetes duration,1
left ventricular hypertrophy,ecg abnormalities,1
left ventricular hypertrophy,hba1c,1
left ventricular hypertrophy,hypertension,1
left ventricular hypertrophy,macroalbuminuria,1
left ventricular hypertrophy,microalbuminuria,1
left ventricular hypertrophy,renal insufficiency,1
left ventricular hypertrophy,statins,1
lipid profile,Serum 25-hydroxyvitamin D,1
lipid profile,antihypertensive use,1
lipid profile,coronary heart disease,1
lipid profile,glycemic control,1
lipid profile,heart failure,1
lipid profile,peripheral artery disease,1
lipid profile,systolic blood pressure,1
lipidlowering therapy,ARBs,1
lipidlowering therapy,ApoAI,1
lipidlowering therapy,RCT,1
lipidlowering therapy,age,2
lipidlowering therapy,albumin,2
lipidlowering therapy,alcohol use,1
lipidlowering therapy,antihypertensive use,5
lipidlowering therapy,antiplatelet therapy,3
lipidlowering therapy,apoAI/apoB ratio,1
lipidlowering therapy,apoB,1
lipidlowering therapy,aspirin therapy,3
lipidlowering therapy,atrial fibrillation,1
lipidlowering therapy,blood glucose,2
lipidlowering therapy,blood pressure,1
lipidlowering therapy,bmi,4
lipidlowering therapy,c-reactive protein,1
lipidlowering therapy,cardiovascular disease,2
lipidlowering therapy,cholesterol,8
lipidlowering therapy,creatinine,3
lipidlowering therapy,diabetes,1
lipidlowering therapy,diastolic blood pressure,2
lipidlowering therapy,fibrinogen,1
lipidlowering therapy,hba1c,2
lipidlowering therapy,heart failure,2
lipidlowering therapy,heart rate,1
lipidlowering therapy,homair,1
lipidlowering therapy,homocysteine,1
lipidlowering therapy,idf metabolic syndrome,1
lipidlowering therapy,insulin (measurment),1
lipidlowering therapy,physical activity,1
lipidlowering therapy,race/ethnicity,1
lipidlowering therapy,renal impairment,1
lipidlowering therapy,socioeconomic variables,1
lipidlowering therapy,systolic blood pressure,3
lipidlowering therapy,triglycerides,4
lipidlowering therapy,waist measurements,3
living alone,albumin,1
living alone,bmi,1
living alone,cholesterol,1
living alone,creatinine,1
living alone,diabetes treatment,1
living alone,hypertension,1
living alone,physical activity,1
living alone,smoking,1
living alone,triglycerides,1
living alone,wasting,1
lm treatment,alphaglucosidase inhibitor,1
lm treatment,antiplatelet therapy,2
lm treatment,complete revascularization,1
lm treatment,dcb use,1
lm treatment,dipeptidyl peptidase 4 inhibitor at discharge,1
lm treatment,glycemic control,1
lm treatment,insulin (measurment),1
lm treatment,statins,2
lm treatment,sulfonylurea,1
log101  acr,ACE inhibitors,1
log101  acr,antihypertensive use,1
log101  acr,egfr,1
log101  acr,insulin (measurment),1
log101  acr,peripheral artery disease,1
log101  acr,retinopathy,1
log101  acr,sensory neuropathy,1
log101  acr,stroke,2
logaer,bnp,1
logaer,cardiovascular disease,1
lowdensity lipoprotein,aspirin therapy,1
lowdensity lipoprotein,bmi,1
lowdensity lipoprotein,cardiovascular disease,1
lowdensity lipoprotein,cholesterol,1
lowdensity lipoprotein,highdensity lipoprotein,1
lowdensity lipoprotein,lipidlowering therapy,1
lowdensity lipoprotein,smoking,1
lowdensity lipoprotein,systolic blood pressure,2
lowdensity lipoprotein,triglycerides,1
lung disease,diabetes,1
